ID,Name,Description
all,all,
arm,arm,
ashes,ashes,
bark,bark,
belly,belly,
big,big,
bird,bird,
bite,bite,
black,black,
blood,blood,
bone,bone,
breast,breast,
burn,burn,
cloud,cloud,
cold,cold,
come,come,
die,die,
dig,dig,
dog,dog,
drink,drink,
dry,dry,
ear,ear,
eat,eat,
egg,egg,
elephant,elephant,
eye,eye,
fall,fall,
fat,fat,
feather,feather,
finger,finger,
fire,fire,
fish,fish,
fly,fly,
full,full,
give,give,
go_to,go to,
hair,hair,
head,head,
hear,hear,
heart,heart,
horn,horn,
house,house,
kill,kill,
knee,knee,
know,know,
laugh,laugh,
leaf,leaf,
leg,leg,
liver,liver,
long,long,
louse,louse,
man,man,
many,many,
meat,meat,
milk,milk,
moon,moon,
mountain,mountain,
mouth,mouth,
nail,nail,
name,name,
neck,neck,
new,new,
night,night,
nose,nose,
one,one,
path,path,
person,person,
rain,rain,
rain_v,rain (v),
river,river,
root,root,
sand,sand,
see,see,
seed,seed,
short,short,
sick_be,"sick, be",
sit,sit,
skin,skin,
sleep_v,sleep (v),
small,small,
smoke,smoke,
snake,snake,
speak,speak,
stand,stand,
steal,steal,
stone,stone,
sun,sun,
tail,tail,
thirst,thirst,
tongue,tongue,
tooth,tooth,
tree,tree,
two,two,
walk,walk,
water,water,
what,what,
white,white,
who,who,
wind,wind,
woman,woman,
